pos	item_1	item_2	item_3	item_4	best	worst	explanation	model
Noun	trick	toddy	changelessness	synagogue	synagogue	trick	3 , 0	gpt-4
Noun	zest	cowgirl	excrement	wheelie	wheelie	zest	3 , 0	gpt-4
Noun	bluesman	asphyxiation	colonel	hunks	asphyxiation	hunks	1 , 3	gpt-4
Noun	germ	iodine	slur	neuron	neuron	slur	3 , 2	gpt-4
Noun	homebody	atheist	kindergartener	grammar	kindergartener	grammar	2 , 3	gpt-4
Noun	roar	curtain	regulator	typesetter	typesetter	roar	3 , 0	gpt-4
Noun	newbie	archenemy	probation	plant	archenemy	plant	1 , 3	gpt-4
Noun	caller	fiesta	packaging	deviousness	deviousness	caller	3 , 0	gpt-4
Noun	mentality	drift	piazza	graph	piazza	mentality	2 , 0	gpt-4
Noun	terminator	proofreader	conservatory	gridlock	proofreader	terminator	1 , 0	gpt-4
Noun	designator	surgeon	leek	thoroughness	surgeon	designator	1 , 0	gpt-4
Noun	oven	illumination	meditation	tot	tot	illumination	3 , 1	gpt-4
Noun	paperback	impulsiveness	distension	grunge	distension	impulsiveness	2 , 1	gpt-4
Noun	fig	canner	snuffbox	ping	snuffbox	ping	2 , 3	gpt-4
Noun	cashbook	cuff	mistranslation	tackiness	mistranslation	tackiness	2 , 3	gpt-4
Noun	psych	cedar	hymn	preparer	preparer	psych	3 , 0	gpt-4
Noun	hay	accusation	luxury	journalism	accusation	luxury	1 , 2	gpt-4
Noun	altar	goner	feasibility	tourniquet	tourniquet	feasibility	3 , 2	gpt-4
Noun	multitude	forthrightness	heat	flatiron	flatiron	multitude	3 , 0	gpt-4
Noun	skydiver	perforation	roaster	shoemaker	shoemaker	skydiver	3 , 0	gpt-4
Noun	militarization	revisionist	reporter	shiner	shiner	militarization	3 , 0	gpt-4
Noun	incarceration	breathlessness	trendsetter	infusion	breathlessness	trendsetter	1 , 2	gpt-4
Noun	equivalency	rosewater	neckwear	sludge	rosewater	equivalency	1 , 0	gpt-4
Noun	shutoff	vapor	fisheye	triplicate	fisheye	vapor	2 , 1	gpt-4
Noun	backstroke	keepsake	presidency	hailstone	backstroke	presidency	0 , 2	gpt-4
Noun	warranty	pains	jackhammer	dignitary	jackhammer	pains	2 , 1	gpt-4
Noun	painkiller	slop	lamination	regard	lamination	slop	2 , 1	gpt-4
Noun	error	distance	technician	suitor	technician	error	2 , 0	gpt-4
Noun	vibes	radiator	darkroom	section	darkroom	vibes	2 , 0	gpt-4
Noun	leotard	suede	integer	cartload	integer	cartload	2 , 3	gpt-4
Noun	spender	prophecy	bucktooth	magnitude	bucktooth	magnitude	2 , 3	gpt-4
Noun	murder	vault	waterproofing	shortlist	waterproofing	murder	2 , 0	gpt-4
Noun	gravitation	squat	bias	samurai	samurai	bias	3 , 2	gpt-4
Noun	halves	vanilla	parkland	tidbit	vanilla	halves	1 , 0	gpt-4
Noun	evangelist	ambience	wakeup	woodwind	evangelist	ambience	0 , 1	gpt-4
Noun	hoax	slant	stepmother	mastery	stepmother	slant	2 , 1	gpt-4
Noun	byproduct	treatment	facet	clay	byproduct	treatment	0 , 1	gpt-4
Noun	verbalization	creationist	dawning	notary	creationist	verbalization	1 , 0	gpt-4
Noun	television	pi	rosary	workweek	rosary	television	2 , 0	gpt-4
Noun	union	negligee	ape	ambition	negligee	ambition	1 , 3	gpt-4
Noun	hesitation	forum	toll	competitor	toll	hesitation	2 , 0	gpt-4
Noun	pant	stroller	tribeswoman	materiality	tribeswoman	materiality	2 , 3	gpt-4
Noun	diagnostician	endorsement	deflection	peanuts	diagnostician	endorsement	0 , 1	gpt-4
Noun	countryside	crossness	airspeed	toner	airspeed	countryside	2 , 0	gpt-4
Noun	player	belligerence	drip	assassination	assassination	player	3 , 0	gpt-4
Noun	tracksuit	stubble	cleavage	penthouse	cleavage	tracksuit	2 , 0	gpt-4
Noun	godsend	stratosphere	pepperoni	hellhound	pepperoni	godsend	2 , 0	gpt-4
Noun	stepladder	reward	lubricant	hunch	stepladder	reward	0 , 1	gpt-4
Noun	backwardness	mesh	oxygen	crescendo	crescendo	backwardness	3 , 0	gpt-4
Noun	gumball	propeller	handrail	ethics	gumball	ethics	0 , 3	gpt-4
Noun	cabdriver	crown	teamster	inducer	teamster	inducer	2 , 3	gpt-4
Noun	peasantry	tracker	bullfight	diorama	bullfight	peasantry	2 , 0	gpt-4
Noun	corn	infarction	gorge	cabling	infarction	gorge	1 , 2	gpt-4
Noun	retard	straw	defacement	icepick	icepick	retard	3 , 0	gpt-4
Noun	university	qualifications	dissonance	vinyl	dissonance	qualifications	2 , 1	gpt-4
Noun	strongbox	streetlamp	outspokenness	mulberry	streetlamp	outspokenness	1 , 2	gpt-4
Noun	destination	access	botany	convulsion	convulsion	access	3 , 1	gpt-4
Noun	flincher	awkwardness	fetus	compulsion	fetus	awkwardness	2 , 1	gpt-4
Noun	circus	saddlebag	countrywoman	caveman	countrywoman	circus	2 , 0	gpt-4
Noun	horticulturalist	dizziness	saloonkeeper	headlight	saloonkeeper	dizziness	2 , 1	gpt-4
Noun	thunderstorm	landlord	ballplayer	driftwood	ballplayer	thunderstorm	2 , 0	gpt-4
Noun	intersection	cattleman	ejector	relationship	ejector	relationship	2 , 3	gpt-4
Noun	bootlace	magnificence	itchiness	consolidation	bootlace	magnificence	0 , 1	gpt-4
Noun	ass	wind	composer	incompetence	composer	wind	2 , 1	gpt-4
Noun	containment	spacer	ordinance	swindler	swindler	containment	3 , 0	gpt-4
Noun	uniformity	newsroom	inflexibility	aerospace	newsroom	uniformity	1 , 0	gpt-4
Noun	immorality	schnauzer	herald	bellman	schnauzer	immorality	1 , 0	gpt-4
Noun	fungi	puffer	faintness	square	puffer	fungi	1 , 0	gpt-4
Noun	metaphysician	hymen	paraphernalia	breast	hymen	paraphernalia	1 , 2	gpt-4
Noun	silversmith	park	flow	reorganization	silversmith	flow	0 , 2	gpt-4
Noun	martini	hairdo	adaptor	convertible	hairdo	martini	1 , 0	gpt-4
Noun	beet	booklet	fluff	outsider	booklet	fluff	1 , 2	gpt-4
Noun	logjam	casserole	meekness	neckband	casserole	logjam	1 , 0	gpt-4
Noun	dismissal	neuroscience	coup	staple	neuroscience	staple	1 , 3	gpt-4
Noun	padre	core	fostering	needles	needles	padre	3 , 0	gpt-4
Noun	pureblood	aerialist	waterbird	soberness	pureblood	soberness	0 , 3	gpt-4
Noun	childbirth	eyeglass	motoring	scapula	scapula	motoring	3 , 2	gpt-4
Noun	bootlegger	pal	silliness	aspirin	bootlegger	silliness	0 , 2	gpt-4
Noun	salary	conditioner	dilapidation	therapeutics	dilapidation	therapeutics	2 , 3	gpt-4
Noun	abduction	coastline	fudge	fixer	coastline	abduction	1 , 0	gpt-4
Noun	mathematics	teleprompter	harness	scuff	teleprompter	mathematics	1 , 0	gpt-4
Noun	lawn	abortion	wisher	researcher	abortion	wisher	1 , 2	gpt-4
Noun	harm	leukemia	dreamworld	descendant	leukemia	harm	1 , 0	gpt-4
Noun	dreamer	noodle	psychotherapist	sabbatical	psychotherapist	dreamer	2 , 0	gpt-4
Noun	similarity	misapprehension	gesture	forgiver	misapprehension	similarity	1 , 0	gpt-4
Noun	afterglow	unionism	carelessness	inadvertence	unionism	afterglow	1 , 0	gpt-4
Noun	daydreamer	partition	buoyancy	grumbler	daydreamer	partition	0 , 1	gpt-4
Noun	pretension	puppet	hem	manger	hem	pretension	2 , 0	gpt-4
Noun	blabbermouth	liquidator	lethality	microelectronics	microelectronics	lethality	3 , 2	gpt-4
Noun	voting	legitimacy	chimpanzee	peeper	peeper	legitimacy	3 , 1	gpt-4
Noun	counterattack	headmaster	countryman	carjacking	carjacking	countryman	3 , 2	gpt-4
Noun	cause	informality	bodybuilder	lunch	bodybuilder	cause	2 , 0	gpt-4
Noun	tide	stickler	objectification	vacancy	objectification	tide	2 , 0	gpt-4
Noun	licorice	adventurer	commandant	dose	dose	adventurer	3 , 1	gpt-4
Noun	smokehouse	trickle	respite	pigeonhole	smokehouse	respite	0 , 2	gpt-4
Noun	timeout	bile	regulation	complexion	bile	regulation	1 , 2	gpt-4
Noun	lotion	prong	grillwork	aplenty	grillwork	lotion	2 , 0	gpt-4
Noun	vibrator	skyline	gnat	handshaking	vibrator	skyline	0 , 1	gpt-4
Noun	tragicomedy	manure	costume	granite	manure	tragicomedy	1 , 0	gpt-4
Noun	encourager	logbook	buttermilk	fore	logbook	encourager	1 , 0	gpt-4
Noun	grit	minion	malcontent	hypoglycemia	hypoglycemia	grit	3 , 0	gpt-4
Noun	javelin	birth	wagon	cactus	javelin	birth	0 , 1	gpt-4
Noun	nonsupport	contestation	monkfish	consolation	monkfish	nonsupport	2 , 0	gpt-4
Noun	smock	boxing	underbelly	instructor	boxing	instructor	1 , 3	gpt-4
Noun	prearrangement	lime	authentication	amputation	prearrangement	lime	0 , 1	gpt-4
Noun	widower	trivia	sweatshirt	fishmeal	sweatshirt	fishmeal	2 , 3	gpt-4
Noun	scientologist	jubilation	sin	occultist	scientologist	sin	0 , 2	gpt-4
Noun	cornerstone	resource	gentlefolk	inclination	gentlefolk	resource	2 , 1	gpt-4
Noun	appetizer	drought	theft	runoff	appetizer	drought	0 , 1	gpt-4
Noun	grandbaby	traditionalism	valve	exception	grandbaby	traditionalism	0 , 1	gpt-4
Noun	stinkweed	pita	unit	seizure	stinkweed	unit	0 , 2	gpt-4
Noun	overexposure	cleaner	conformation	inconsistency	cleaner	overexposure	1 , 0	gpt-4
Noun	romancer	triangulation	heartburn	spearfish	triangulation	romancer	1 , 0	gpt-4
Noun	editor	contrast	jumpsuit	encampment	jumpsuit	contrast	2 , 1	gpt-4
Noun	moonrise	croquet	persimmon	tailgate	persimmon	moonrise	2 , 0	gpt-4
Noun	arsonist	sextet	camp	shawl	sextet	camp	1 , 2	gpt-4
Noun	foreman	knoll	gumption	bank	knoll	foreman	1 , 0	gpt-4
Noun	stenographer	matchmaking	impressionism	pettiness	stenographer	matchmaking	0 , 1	gpt-4
Noun	waveform	brick	imbecile	elimination	imbecile	waveform	2 , 0	gpt-4
Noun	repeater	condemnation	weed	trucker	repeater	weed	0 , 2	gpt-4
Noun	fishing	estrangement	contraption	nudism	estrangement	fishing	1 , 0	gpt-4
Noun	orchestra	chloroform	centerpiece	pinhead	chloroform	orchestra	1 , 0	gpt-4
Noun	antibody	matriarch	broiler	satin	broiler	matriarch	2 , 1	gpt-4
Noun	manifold	ropey	newsletter	boilerplate	newsletter	manifold	2 , 0	gpt-4
Noun	evolutionist	subtitle	teat	jammer	teat	evolutionist	2 , 0	gpt-4
Noun	scrabble	rap	complement	chronometer	chronometer	complement	3 , 2	gpt-4
Noun	tingle	distress	petition	nurse	petition	distress	2 , 1	gpt-4
Noun	intonation	encouragement	porcelain	bailiff	porcelain	encouragement	2 , 1	gpt-4
Noun	showcasing	cashmere	clipper	effort	cashmere	effort	1 , 3	gpt-4
Noun	underachievement	quizmaster	kaleidoscope	wiener	quizmaster	underachievement	1 , 0	gpt-4
Noun	volleyball	tint	stallion	procreation	stallion	procreation	2 , 3	gpt-4
Noun	extremism	enchanter	picture	tantrum	enchanter	extremism	1 , 0	gpt-4
Noun	seat	knockdown	shutdown	proportion	knockdown	seat	1 , 0	gpt-4
Noun	veal	realm	handful	breakout	veal	realm	0 , 1	gpt-4
Noun	clubhouse	trowel	kleptomaniac	overheads	kleptomaniac	overheads	2 , 3	gpt-4
Noun	dryer	gazette	fretfulness	era	fretfulness	dryer	2 , 0	gpt-4
Noun	dissolution	quilter	placenta	windbreak	placenta	dissolution	2 , 0	gpt-4
Noun	runner	gig	organist	implant	organist	implant	2 , 3	gpt-4
Noun	falsehood	stoutness	trademark	nose	trademark	falsehood	2 , 0	gpt-4
Noun	graves	spelling	inaccuracy	surgery	surgery	inaccuracy	3 , 2	gpt-4
Noun	hemorrhage	study	cuss	convoy	hemorrhage	study	0 , 1	gpt-4
Noun	mover	metabolite	spreadsheet	tutor	spreadsheet	mover	2 , 0	gpt-4
Noun	hypnotist	negotiator	pier	location	hypnotist	location	0 , 3	gpt-4
Noun	degeneration	fishmonger	affection	redcoat	fishmonger	degeneration	1 , 0	gpt-4
Noun	hatchway	time	puffball	powwow	puffball	time	2 , 1	gpt-4
Noun	firelight	median	jumbo	speck	speck	median	3 , 1	gpt-4
Noun	marbling	concussion	sigh	impediment	concussion	impediment	1 , 3	gpt-4
Noun	cousin	requester	birthday	brawl	cousin	requester	0 , 1	gpt-4
Noun	debutante	jalapeno	preserver	inappropriateness	jalapeno	preserver	1 , 2	gpt-4
Noun	waterfowl	dissection	reconnection	philanthropist	philanthropist	reconnection	3 , 2	gpt-4
Noun	announcer	businesswoman	carpeting	irritability	businesswoman	announcer	1 , 0	gpt-4
Noun	proximity	respondent	torpedo	novelty	torpedo	proximity	2 , 0	gpt-4
Noun	formation	profit	washday	whirlybird	washday	formation	2 , 0	gpt-4
Noun	buckeye	people	position	entryway	buckeye	people	0 , 1	gpt-4
Noun	bristle	buster	enamel	giblets	giblets	buster	3 , 1	gpt-4
Noun	encounter	paneling	vulgarity	psychoanalysis	psychoanalysis	encounter	3 , 0	gpt-4
Noun	pegboard	congress	disinterestedness	recollection	pegboard	congress	0 , 1	gpt-4
Noun	melancholia	shepherdess	analyst	fluctuation	shepherdess	melancholia	1 , 0	gpt-4
Noun	persistence	dumbwaiter	booby	wasteland	dumbwaiter	persistence	1 , 0	gpt-4
Noun	digitization	housemaster	gigolo	sales	gigolo	digitization	2 , 0	gpt-4
Noun	chimp	syndrome	soprano	junkman	syndrome	chimp	1 , 0	gpt-4
Noun	panorama	largemouth	honeycomb	vase	largemouth	panorama	1 , 0	gpt-4
Noun	psychics	childbearing	acrobat	stationery	childbearing	psychics	1 , 0	gpt-4
Noun	abundance	staph	luminary	internet	staph	abundance	1 , 0	gpt-4
Noun	excise	indignation	supermarket	bedside	supermarket	excise	2 , 0	gpt-4
Noun	filth	topsoil	trustee	daintiness	trustee	filth	2 , 0	gpt-4
Noun	frontage	hypersensitivity	bosom	fibber	hypersensitivity	frontage	1 , 0	gpt-4
Noun	platoon	expenditure	phosphate	cab	cab	expenditure	3 , 1	gpt-4
Noun	jukebox	carwash	flub	discomfort	carwash	discomfort	1 , 3	gpt-4
Noun	intimidator	echocardiogram	border	oil	echocardiogram	border	1 , 2	gpt-4
Noun	girlfriend	hellhole	inducement	regimentation	hellhole	inducement	1 , 2	gpt-4
Noun	ingestion	fraternity	guesthouse	aloneness	guesthouse	ingestion	2 , 0	gpt-4
Noun	trapper	sunstroke	oversea	subsystem	subsystem	oversea	3 , 2	gpt-4
Noun	chatter	tree	lipstick	subset	lipstick	chatter	2 , 0	gpt-4
Noun	objectivity	ski	duh	sensuousness	ski	objectivity	1 , 0	gpt-4
Noun	cobbler	bottle	platform	orphanage	orphanage	platform	3 , 2	gpt-4
Noun	seashell	funds	starboard	noncompliance	starboard	funds	2 , 1	gpt-4
Noun	affront	filmmaker	exploitation	immodesty	filmmaker	exploitation	1 , 2	gpt-4
Noun	interpretation	credibility	commerce	bait	bait	commerce	3 , 2	gpt-4
Noun	primavera	adrenalin	curbstone	impermanence	curbstone	impermanence	2 , 3	gpt-4
Noun	epitome	rheumatism	timing	rollerblade	rollerblade	epitome	3 , 0	gpt-4
Noun	reenlist	earring	irradiation	jambalaya	jambalaya	reenlist	3 , 0	gpt-4
Noun	topography	cinematographer	timecard	kitten	timecard	topography	2 , 0	gpt-4
Noun	island	highland	emotionality	video	video	emotionality	3 , 2	gpt-4
Noun	note	handout	grail	apron	grail	note	2 , 0	gpt-4
Noun	resin	coder	laryngitis	timesaver	laryngitis	timesaver	2 , 3	gpt-4
Noun	teardrop	ailment	paycheck	polystyrene	teardrop	ailment	0 , 1	gpt-4
Noun	canal	bloodline	pervert	crudeness	bloodline	crudeness	1 , 3	gpt-4
Noun	pendulum	bombshell	painting	consortium	pendulum	consortium	0 , 3	gpt-4
Noun	neurotoxin	frogfish	assent	slaughter	neurotoxin	assent	0 , 2	gpt-4
Noun	basis	reorder	voyage	scrap	reorder	basis	1 , 0	gpt-4
Noun	groper	undertaking	orderliness	audiology	audiology	undertaking	3 , 1	gpt-4
Noun	inhalation	waster	brainpower	glowworm	glowworm	waster	3 , 1	gpt-4
Noun	clank	urination	gentlemanliness	ferry	urination	clank	1 , 0	gpt-4
Noun	backdrop	wink	incorporation	recluse	wink	backdrop	1 , 0	gpt-4
Noun	bangle	hostess	math	bit	hostess	math	1 , 2	gpt-4
Noun	typo	strobe	aunt	austerity	aunt	austerity	2 , 3	gpt-4
Noun	killjoy	databank	inscription	psychodynamics	psychodynamics	killjoy	3 , 0	gpt-4
Noun	relic	spyware	shindig	armada	spyware	relic	1 , 0	gpt-4
Noun	deliberation	disembowelment	forearm	geopolitics	disembowelment	deliberation	1 , 0	gpt-4
Noun	garnishment	vampirism	airstrike	faction	vampirism	faction	1 , 3	gpt-4
Noun	fringe	horsewoman	impracticality	milk	horsewoman	milk	1 , 3	gpt-4
Noun	saloon	countermove	ion	materialization	ion	saloon	2 , 0	gpt-4
Noun	scarecrow	rainforest	cornstarch	erosion	cornstarch	rainforest	2 , 1	gpt-4
Noun	cymbals	mussel	fundamentalism	collection	fundamentalism	collection	2 , 3	gpt-4
Noun	cougar	discussion	botanist	pilot	botanist	discussion	2 , 1	gpt-4
Noun	loot	hunk	alarm	milkmaid	milkmaid	hunk	3 , 1	gpt-4
Noun	moors	stockings	kidnapping	meeting	kidnapping	moors	2 , 0	gpt-4
Noun	passenger	portside	ounce	discouragement	ounce	passenger	2 , 0	gpt-4
Noun	clerk	aircraftsman	windbreaker	hollow	aircraftsman	hollow	1 , 3	gpt-4
Noun	helpline	antifreeze	bullwhip	merriment	antifreeze	helpline	1 , 0	gpt-4
Noun	chieftain	wisenheimer	cornmeal	handgun	wisenheimer	chieftain	1 , 0	gpt-4
Noun	approach	stunner	cartoon	inhibition	inhibition	approach	3 , 0	gpt-4
Noun	cyclone	elasticity	admittance	percolator	percolator	admittance	3 , 2	gpt-4
Noun	brim	snarl	leavings	adultery	adultery	leavings	3 , 2	gpt-4
Noun	hanker	photosynthesis	sports	solitude	photosynthesis	sports	1 , 2	gpt-4
Noun	groomer	insider	showgirl	slug	showgirl	insider	2 , 1	gpt-4
Noun	panel	rupee	pileup	hatred	pileup	panel	2 , 0	gpt-4
Noun	nostalgia	burglary	journal	enshrine	burglary	nostalgia	1 , 0	gpt-4
Noun	vineyard	spendthrift	drizzle	landscape	spendthrift	landscape	1 , 3	gpt-4
Noun	soliloquy	atomics	landing	overbuilt	soliloquy	landing	0 , 2	gpt-4
Noun	moat	regularization	hallucinogen	pyromania	hallucinogen	regularization	2 , 1	gpt-4
Noun	airbrush	gripper	pedometer	stereotyping	pedometer	stereotyping	2 , 3	gpt-4
Noun	chat	stress	sneer	coercion	sneer	chat	2 , 0	gpt-4
Noun	coexistence	dole	guppy	stepstool	guppy	coexistence	2 , 0	gpt-4
Noun	homelessness	candle	sunroof	sunglasses	sunroof	homelessness	2 , 0	gpt-4
Noun	unwieldiness	fireside	commando	stinginess	fireside	unwieldiness	1 , 0	gpt-4
Noun	shelling	ratchet	driller	specialization	driller	specialization	2 , 3	gpt-4
Noun	lozenge	auction	homestretch	pumpkin	homestretch	auction	2 , 1	gpt-4
Noun	kilobyte	roadway	pushcart	arcade	pushcart	roadway	2 , 1	gpt-4
Noun	flattop	tournament	karma	solicitation	flattop	tournament	0 , 1	gpt-4
Noun	church	dampness	relay	copper	dampness	church	1 , 0	gpt-4
Noun	gonorrhea	tossup	snapshot	slideshow	gonorrhea	tossup	0 , 1	gpt-4
Noun	legit	chickadee	ectoplasm	mechanization	chickadee	legit	1 , 0	gpt-4
Noun	dollar	flatland	perpetration	thigh	perpetration	flatland	2 , 1	gpt-4
Noun	rib	bicarbonate	camouflage	restorer	bicarbonate	restorer	1 , 3	gpt-4
Noun	trio	dissent	eggshell	catering	eggshell	dissent	2 , 1	gpt-4
Noun	scrapheap	doctorate	leftovers	implementation	doctorate	leftovers	1 , 2	gpt-4
Noun	bucketful	disgustingness	dwarf	sleazebag	disgustingness	bucketful	1 , 0	gpt-4
Noun	tag	pushbutton	revulsion	footman	pushbutton	tag	1 , 0	gpt-4
Noun	snakeskin	columnist	reggae	doorpost	columnist	snakeskin	1 , 0	gpt-4
Noun	quaintness	interpolation	pacifism	silicone	interpolation	quaintness	1 , 0	gpt-4
Noun	woodland	commencement	glossary	refuge	glossary	woodland	2 , 0	gpt-4
Noun	manipulation	papering	search	levers	papering	search	1 , 2	gpt-4
Noun	hut	arrogance	marionette	nosiness	marionette	arrogance	2 , 1	gpt-4
Noun	gratuity	airline	duffel	protectiveness	duffel	gratuity	2 , 0	gpt-4
Noun	polyethylene	jugular	weather	landscaping	jugular	weather	1 , 2	gpt-4
Noun	aggravation	sunroom	mozzarella	crest	mozzarella	aggravation	2 , 0	gpt-4
Noun	refrigeration	employment	mink	lockout	mink	employment	2 , 1	gpt-4
Noun	altitude	bricklayer	format	blackness	bricklayer	format	1 , 2	gpt-4
Noun	mortician	conscription	kudos	pilgrimage	mortician	conscription	0 , 1	gpt-4
Noun	dogma	stickup	stopwatch	sniffer	stopwatch	dogma	2 , 0	gpt-4
Noun	jazz	monotony	determination	brushfire	jazz	determination	0 , 2	gpt-4
Noun	mimosa	reassurance	tax	sundeck	sundeck	reassurance	3 , 1	gpt-4
Noun	toxicity	specialness	excitability	midsummer	midsummer	specialness	3 , 1	gpt-4
Noun	stake	reddening	downtime	overhaul	reddening	stake	1 , 0	gpt-4
Noun	rotor	turncoat	harmonizer	ramp	rotor	ramp	0 , 3	gpt-4
Noun	bunk	lavatory	fluoroscope	zealot	fluoroscope	bunk	2 , 0	gpt-4
Noun	luminosity	nitrite	dandruff	toolbox	dandruff	luminosity	2 , 0	gpt-4
Noun	assistance	renovation	shockwave	paste	shockwave	assistance	2 , 0	gpt-4
Noun	shortwave	dipper	labyrinth	backbone	labyrinth	shortwave	2 , 0	gpt-4
Noun	femininity	tarantula	figurine	cloud	tarantula	femininity	1 , 0	gpt-4
Noun	fury	sleeper	cardiologist	paleontologist	cardiologist	fury	2 , 0	gpt-4
Noun	hertz	remembrance	chase	ghost	hertz	chase	0 , 2	gpt-4
Noun	framework	snowdrift	fanaticism	boyhood	fanaticism	framework	2 , 0	gpt-4
Noun	cranium	pretense	dust	underpass	underpass	pretense	3 , 1	gpt-4
Noun	impetuousness	ember	arrangement	boohoo	ember	impetuousness	1 , 0	gpt-4
Noun	siesta	outpour	bracer	lawsuit	lawsuit	outpour	3 , 1	gpt-4
Noun	text	spatula	mission	boarder	spatula	text	1 , 0	gpt-4
Noun	interrogative	compacter	generator	resignation	compacter	interrogative	1 , 0	gpt-4
Noun	specifics	backtalk	bathmat	propagandist	bathmat	specifics	2 , 0	gpt-4
Noun	magma	bigot	weekend	crystallization	crystallization	weekend	3 , 2	gpt-4
Noun	sunburst	lowball	kin	flypaper	lowball	kin	1 , 2	gpt-4
Noun	copyist	density	loom	patriot	copyist	density	0 , 1	gpt-4
Noun	misfire	ovum	potpie	freemason	freemason	misfire	3 , 0	gpt-4
Noun	sliver	ticket	discoloration	suture	discoloration	sliver	2 , 0	gpt-4
Noun	transcendence	midbrain	mascara	outfielder	mascara	transcendence	2 , 0	gpt-4
Noun	religionist	foresight	twirler	wireless	twirler	religionist	2 , 0	gpt-4
Noun	promiscuity	rollaway	oneness	regiment	rollaway	promiscuity	1 , 0	gpt-4
Noun	correlation	patronage	maze	redeemer	redeemer	correlation	3 , 0	gpt-4
Noun	thespian	boat	etiquette	sophomore	etiquette	boat	2 , 1	gpt-4
Noun	plot	escapist	prominence	scum	escapist	plot	1 , 0	gpt-4
Noun	protector	empathy	advertising	creep	advertising	protector	2 , 0	gpt-4
Noun	tradition	memorial	melody	fee	memorial	tradition	1 , 0	gpt-4
Noun	mooch	range	nightgown	conglomeration	nightgown	range	2 , 1	gpt-4
Noun	mugger	borderline	woodwork	clothesline	mugger	clothesline	0 , 3	gpt-4
Noun	beadwork	broadcast	craze	antenna	beadwork	craze	0 , 2	gpt-4
Noun	snitcher	innings	bakeshop	rationing	bakeshop	snitcher	2 , 0	gpt-4
Noun	doorkeeper	supercomputer	coolant	colonization	supercomputer	colonization	1 , 3	gpt-4
Noun	sensitivity	compromiser	byte	decommissioning	decommissioning	sensitivity	3 , 0	gpt-4
Noun	sheathing	halfpenny	prizefight	instability	halfpenny	instability	1 , 3	gpt-4
Noun	seacoast	agitation	taxis	snare	taxis	agitation	2 , 1	gpt-4
Noun	chateau	sloth	gizmo	articulation	chateau	gizmo	0 , 2	gpt-4
Noun	honeysuckle	genius	ally	nudist	honeysuckle	ally	0 , 2	gpt-4
Noun	jaywalker	paleface	pronunciation	doc	pronunciation	doc	2 , 3	gpt-4
Noun	glassful	hairdresser	rabbit	mound	hairdresser	mound	1 , 3	gpt-4
Noun	anchor	doorframe	silver	lightning	lightning	silver	3 , 2	gpt-4
Noun	bookworm	grunting	reattachment	persecutor	reattachment	grunting	2 , 1	gpt-4
Noun	digits	speculation	borderland	transfer	borderland	speculation	2 , 1	gpt-4
Noun	organ	gallop	squash	giver	gallop	organ	1 , 0	gpt-4
Noun	forethought	induction	compactor	religion	compactor	religion	2 , 3	gpt-4
Noun	habitation	motif	superstar	campaign	superstar	habitation	2 , 0	gpt-4
Noun	carbon	glucose	chardonnay	mummification	mummification	carbon	3 , 0	gpt-4
Noun	stubbornness	rookie	plainclothes	discoverer	plainclothes	stubbornness	2 , 0	gpt-4
Noun	crime	straitjacket	world	bronzer	straitjacket	world	1 , 2	gpt-4
Noun	east	psychology	parakeet	sorrow	parakeet	east	2 , 0	gpt-4
Noun	gingivitis	altruism	markup	landscaper	gingivitis	markup	0 , 2	gpt-4
Noun	leaflet	nosebleed	finale	phooey	nosebleed	leaflet	1 , 0	gpt-4
Noun	philanthropy	tower	bonkers	vagrant	bonkers	philanthropy	2 , 0	gpt-4
Noun	perpetuation	plotter	daddy	bloodmobile	plotter	perpetuation	1 , 0	gpt-4
Noun	salesgirl	teen	swirl	faraway	salesgirl	teen	0 , 1	gpt-4
Noun	volley	whelp	schoolgirl	checkout	schoolgirl	volley	2 , 0	gpt-4
Noun	polarization	spore	sharpie	motorcade	sharpie	polarization	2 , 0	gpt-4
Noun	stride	milling	motorway	theses	milling	theses	1 , 3	gpt-4
Noun	tetanus	vanload	robbery	metaphysics	tetanus	metaphysics	0 , 3	gpt-4
Noun	wedlock	crayon	saleslady	zinger	saleslady	zinger	2 , 3	gpt-4
Noun	selflessness	collarbone	acclaim	cola	collarbone	selflessness	1 , 0	gpt-4
Noun	absorber	commode	snack	flaw	commode	snack	1 , 2	gpt-4
Noun	chance	furnace	gospel	cock	furnace	chance	1 , 0	gpt-4
Noun	radium	room	topnotch	figment	radium	topnotch	0 , 2	gpt-4
Noun	cufflink	gearshift	bowler	moodiness	gearshift	moodiness	1 , 3	gpt-4
Noun	conference	foreignness	plasterer	truffle	plasterer	foreignness	2 , 1	gpt-4
Noun	periodical	fortress	baggage	employee	fortress	periodical	1 , 0	gpt-4
Noun	exodus	consent	void	suffrage	exodus	void	0 , 2	gpt-4
Noun	beneficiary	stunt	rodent	valley	stunt	beneficiary	1 , 0	gpt-4
Noun	embryo	underworld	desertion	phrasemaker	phrasemaker	underworld	3 , 1	gpt-4
Noun	artisan	lovemaking	verdict	motorboat	motorboat	artisan	3 , 0	gpt-4
Noun	contempt	hodgepodge	impulse	nutcracker	nutcracker	hodgepodge	3 , 1	gpt-4
Noun	fundraising	acetone	queen	bassinet	bassinet	fundraising	3 , 0	gpt-4
Noun	filet	conqueror	foundation	wintertime	filet	conqueror	0 , 1	gpt-4
